沒趣巴巴	ㄇㄟˊ　ㄑㄩˋ　ㄅㄚ　ㄅㄚ
跋山涉水	ㄅㄚˊ　ㄕㄢ　ㄕㄜˋ　ㄕㄨㄟˇ
順把	ㄕㄨㄣˋ　ㄅㄚˇ
七大八小	ㄑ｜　ㄉㄚˋ　ㄅㄚ　ㄒ｜ㄠˇ
題跋	ㄊ｜ˊ　ㄅㄚˊ
芭賽	ㄅㄚ　ㄙㄞˋ
撈一把	ㄌㄠ　｜　ㄅㄚˇ
板兒車	ㄅㄢˇㄦ　ㄔㄜ　(變)ㄅㄚˇㄦ　ㄔㄜ
巴駱和	ㄅㄚ　ㄌㄨㄛˋ　ㄏㄜˊ
把子	ㄅㄚˇ　˙ㄗ,ㄅㄚˋ　˙ㄗ
絕塵拔俗	ㄐㄩㄝˊ　ㄔㄣˊ　ㄅㄚˊ　ㄙㄨˊ
拔地	ㄅㄚˊ　ㄉ｜ˋ
十八姨	ㄕˊ　ㄅㄚ　｜ˊ
把筆	ㄅㄚˇ　ㄅ｜ˇ
八拜	ㄅㄚ　ㄅㄞˋ
喝啞吧酒	ㄏㄜ　｜ㄚˇ　˙ㄅㄚ　ㄐ｜ㄡˇ
八苦	ㄅㄚ　ㄎㄨˇ
巴倫支海	ㄅㄚ　ㄌㄨㄣˊ　ㄓ　ㄏㄞˇ
皺巴巴	ㄓㄡˋ　ㄅㄚ　ㄅㄚ
加把勁	ㄐ｜ㄚ　ㄅㄚˇ　ㄐ｜ㄣˋ
把定	ㄅㄚˇ　ㄉ｜ㄥˋ
巴著	ㄅㄚ　ㄓㄠˊ
巴羔子	ㄅㄚ　ㄍㄠ　˙ㄗ
八百羅漢	ㄅㄚ　ㄅㄞˇ　ㄌㄨㄛˊ　ㄏㄢˋ
八戒	ㄅㄚ　ㄐ｜ㄝˋ
八成	ㄅㄚ　ㄔㄥˊ
把守	ㄅㄚˇ　ㄕㄡˇ
灞陵園	ㄅㄚˋ　ㄌ｜ㄥˊ　ㄩㄢˊ
把家	ㄅㄚˇ　ㄐ｜ㄚ
巴西聯邦共和國	ㄅㄚ　ㄒ｜　ㄌ｜ㄢˊ　ㄅㄤ　ㄍㄨㄥˋ　ㄏㄜˊ　ㄍㄨㄛˊ
半塗而罷	ㄅㄢˋ　ㄊㄨˊ　ㄦˊ　ㄅㄚˋ
打牙巴骨	ㄉㄚˇ　｜ㄚˊ　ㄅㄚ　ㄍㄨˇ
罷兵	ㄅㄚˋ　ㄅ｜ㄥ
靶場	ㄅㄚˇ　ㄔㄤˊ
色字頭上一把刀	ㄙㄜˋ　ㄗˋ　ㄊㄡˊ　ㄕㄤˋ　｜　ㄅㄚˇ　ㄉㄠ
大巴山脈	ㄉㄚˋ　ㄅㄚ　ㄕㄢ　ㄇㄞˋ
罷黜	ㄅㄚˋ　ㄔㄨˋ
八月花神	ㄅㄚ　ㄩㄝˋ　ㄏㄨㄚ　ㄕㄣˊ
把定物	ㄅㄚˇ　ㄉ｜ㄥˋ　ㄨˋ
罷免	ㄅㄚˋ　ㄇ｜ㄢˇ
八進制	ㄅㄚ　ㄐ｜ㄣˋ　ㄓˋ
伊斯蘭馬巴德	｜　ㄙ　ㄌㄢˊ　ㄇㄚˇ　ㄅㄚ　ㄉㄜˊ
吹喇叭	ㄔㄨㄟ　ㄌㄚˇ　˙ㄅㄚ
箭靶子	ㄐ｜ㄢˋ　ㄅㄚˇ　˙ㄗ
拔白	ㄅㄚˊ　ㄅㄞˊ
粑	ㄅㄚ
跋扈自恣	ㄅㄚˊ　ㄏㄨˋ　ㄗˋ　ㄗˋ
八字帖	ㄅㄚ　ㄗˋ　ㄊ｜ㄝˇ
清拔	ㄑ｜ㄥ　ㄅㄚˊ
八大八	ㄅㄚ　ㄉㄚˋ　ㄅㄚ
丘八	ㄑ｜ㄡ　ㄅㄚ
八面光	ㄅㄚ　ㄇ｜ㄢˋ　ㄍㄨㄤ
跋文	ㄅㄚˊ　ㄨㄣˊ
八莫	ㄅㄚ　ㄇㄛˋ
經濟罷工	ㄐ｜ㄥ　ㄐ｜ˋ　ㄅㄚˋ　ㄍㄨㄥ
芭蕉洞	ㄅㄚ　ㄐ｜ㄠ　ㄉㄨㄥˋ
出群拔萃	ㄔㄨ　ㄑㄩㄣˊ　ㄅㄚˊ　ㄘㄨㄟˋ
不如意恆七八	ㄅㄨˋ　ㄖㄨˊ　｜ˋ　ㄏㄥˊ　ㄑ｜　ㄅㄚ
現代芭蕾舞	ㄒ｜ㄢˋ　ㄉㄞˋ　ㄅㄚ　ㄌㄟˇ　ㄨˇ
使絆兒	ㄕˇ　ㄅㄢˋㄦ　(變)ㄕˇ　ㄅㄚˋㄦ
毛團把戲	ㄇㄠˊ　ㄊㄨㄢˊ　ㄅㄚˇ　ㄒ｜ˋ
捏把汗	ㄋ｜ㄝ　ㄅㄚˇ　ㄏㄢˋ
巴斗	ㄅㄚ　ㄉㄡˇ
刀把兒	ㄉㄠ　ㄅㄚˋㄦ
丫巴兒	｜ㄚ　˙ㄅㄚㄦ
鈸	ㄅㄚˊ
繃扒	ㄅㄥ　ㄅㄚ
舊瘡疤	ㄐ｜ㄡˋ　ㄔㄨㄤ　ㄅㄚ
巴山縣	ㄅㄚ　ㄕㄢ　ㄒ｜ㄢˋ
壩	ㄅㄚˋ
巴斯噶	ㄅㄚ　ㄙ　ㄍㄜˊ
巴斯	ㄅㄚ　ㄙ
把穩	ㄅㄚˇ　ㄨㄣˇ
巴巴急急	ㄅㄚ　˙ㄅㄚ　˙ㄐ｜　˙ㄐ｜
鎗把	ㄑ｜ㄤ　ㄅㄚˇ
零七八碎	ㄌ｜ㄥˊ　ㄑ｜　ㄅㄚ　ㄙㄨㄟˋ
拿刀靶兒	ㄋㄚˊ　ㄉㄠ　ㄅㄚˇㄦ
霸陵醉尉	ㄅㄚˋ　ㄌ｜ㄥˊ　ㄗㄨㄟˋ　ㄨㄟˋ
耙	（又音）ㄅㄚˋ
巴蕾	ㄅㄚ　ㄌㄟˇ
繃扒吊拷	ㄅㄥ　ㄅㄚ　ㄉ｜ㄠˋ　ㄎㄠˇ
拔茅連茹	ㄅㄚˊ　ㄇㄠˊ　ㄌ｜ㄢˊ　ㄖㄨˊ
提拔	ㄊ｜ˊ　ㄅㄚˊ
罷退	ㄅㄚˋ　ㄊㄨㄟˋ
烏龜亡八	ㄨ　ㄍㄨㄟ　ㄨㄤˊ　ㄅㄚ
巴貝克	ㄅㄚ　ㄅㄟˋ　ㄎㄜˋ
百八丸	ㄅㄞˇ　ㄅㄚ　ㄨㄢˊ
巴攔	ㄅㄚ　ㄌㄢˊ
喇叭口兒	ㄌㄚˇ　˙ㄅㄚ　ㄎㄡˇㄦ
不幹這把刀	ㄅㄨˋ　ㄍㄢˋ　ㄓㄜˋ　ㄅㄚˇ　ㄉㄠ
八荒	ㄅㄚ　ㄏㄨㄤ
巴攀	ㄅㄚ　ㄆㄢ
哲布尊丹巴	ㄓㄜˊ　ㄅㄨˋ　ㄗㄨㄣ　ㄉㄢ　ㄅㄚ
霸才	ㄅㄚˋ　ㄘㄞˊ
七拉八扯	ㄑ｜　ㄌㄚ　ㄅㄚ　ㄔㄜˇ
七折八扣	ㄑ｜　ㄓㄜˊ　ㄅㄚ　ㄎㄡˋ
巴攬	ㄅㄚ　ㄌㄢˇ
大喇叭	ㄉㄚˋ　ㄌㄚˇ　˙ㄅㄚ
撚靶兒	ㄋ｜ㄢˇ　ㄅㄚˇㄦ
笆斗	ㄅㄚ　ㄉㄡˇ
鬼把戲	ㄍㄨㄟˇ　ㄅㄚˇ　ㄒ｜ˋ
都把勢	ㄉㄨ　ㄅㄚˇ　˙ㄕ
巴蛇	ㄅㄚ　ㄕㄜˊ
把兒鏡子	ㄅㄚˋㄦ　ㄐ｜ㄥˋ　˙ㄗ
拔睹兒	ㄅㄚˊ　ㄉㄨˇ　ㄦˊ
巴蛾	ㄅㄚ　ㄜˊ
八仙過海	ㄅㄚ　ㄒ｜ㄢ　ㄍㄨㄛˋ　ㄏㄞˇ
八股	ㄅㄚ　ㄍㄨˇ
巴戟天	ㄅㄚ　ㄐ｜ˇ　ㄊ｜ㄢ
巴拉拉卡琴	ㄅㄚ　ㄌㄚ　ㄌㄚ　ㄎㄚˇ　ㄑ｜ㄣˊ
爸	ㄅㄚˋ
巴拿馬運河	ㄅㄚ　ㄋㄚˊ　ㄇㄚˇ　ㄩㄣˋ　ㄏㄜˊ
王八羔子	ㄨㄤˊ　˙ㄅㄚ　ㄍㄠ　˙ㄗ
扒房	ㄅㄚ　ㄈㄤˊ
四起八拜	ㄙˋ　ㄑ｜ˇ　ㄅㄚ　ㄅㄞˋ
連根拔起	ㄌ｜ㄢˊ　ㄍㄣ　ㄅㄚˊ　ㄑ｜ˇ
長尾巴	ㄓㄤˇ　ㄨㄟˇ　˙ㄅㄚ
才高八斗	ㄘㄞˊ　ㄍㄠ　ㄅㄚ　ㄉㄡˇ
尿尿把把	ㄋ｜ㄠˋ　ㄋ｜ㄠˋ　ㄅㄚˇ　ㄅㄚˇ
扒得高跌得重	ㄅㄚ　˙ㄉㄜ　ㄍㄠ　ㄉ｜ㄝˊ　˙ㄉㄜ　ㄓㄨㄥˋ
靶	ㄅㄚˇ
八角茴香	ㄅㄚ　ㄐ｜ㄠˇ　ㄏㄨㄟˊ　ㄒ｜ㄤ
八老	ㄅㄚ　ㄌㄠˇ
眨巴	ㄓㄚˇ　˙ㄅㄚ
